순번	코드	물질명	물질요약	영문명	상용명	CAS번호	공단코드	주기	노출기준(TWA)	노출기준(STEL)	분석분류	단축코드	회수율	PAS회수율	FACTOR값	측정방법	측정단위	분류	측정	혼합	특검	사용	특별관리	허가대상	허용기준	안전검사	발암성	생식세포	생식독성	LOD	LOQ	단위	분자량	함유량	비중	계산상수	적용값1	적용값3	기울기	Y절편	채취Media	운반방법	시료보관방법	적정유량	적정총유량	유량평균자릿수	분석파일명	분석장비 물질명	분석정열	분석방법	지침번호1	지침번호2	위험문구	유해.위험문구
305	N0374	n-프로필아세테이트		n-Propyl acetate	초산프로필	109-60-4	21169	12	200 ppm	250 ppm	GC(유기용제)		1.0087			15	ppm	유기화합물	○	○	 	○								0.0123	0.0406	㎎/Sample	102.13		0.890						활성탄		냉장	0.02							A-127-2018		"R11,R36,R66,R67"	"H225,H319,H336,H402"
306	N0375	이소부틸아세테이트		Isobutyl acetate	이소부틸아세테이트	110-19-0	21171	12	150 ppm	187 ppm	GC(유기용제)		1.0124			15	ppm	유기화합물	○	○	 	○								0.0279	0.0921	㎎/Sample	116.16								활성탄		냉장	0.02							A-124-2018		"R11,R66"	"H225,H336,H402"
307	N0376	이소프로필아세테이트		Isopropyl acetate	이소프로필 아세테이트	108-21-4	21173	12	100 ppm	200 ppm	GC(유기용제)		1.0131			15	ppm	유기화합물	○	 	 	○								0.0213	0.0703	㎎/Sample	102.13								활성탄		냉장	0.02							A-129-2018		"R11,R36,R66,R67"	"H225,H318,H335,H336"
308	N0377	트리에틸아민		Triethylamine	트리에틸아민	121-44-8	21197	12	2 ppm	4 ppm	GC(유기용제)					15	ppm	유기화합물	○	 	 	○																			10% 인산 coated XAD-7		냉장	0.05							A-146-2018		"H225,H332,H312,H302,H314"	"H225,H302,H311,H314,H318,H331,H401"
309	N0378	프로필렌이민		Propylene imine	프로필렌 이민	75-55-8	21213	12	2 ppm		의뢰물질					13	ppm	유기화합물	○	 	 	○	○				1B														폴린시약		냉장	0.2							A-172-2018		"H225,H350,H310,H330,H300,H318,H411"	"H225,H300,H310,H315,H319,H335,H350,H401"
310	N0380	크리스토발라이트		Silica(Crystalline cristobalite)	규산(크리스토바라이트)	14464-46-1	41002	24	0.05 ㎎/㎥		의뢰물질					20	㎎/㎥	분진	○	○	○	○								5.9203	19.7146	㎍/Sample									PVC 여과지		DC	2.5										"H317,H350"
311	N0381	트리디마이트		Silica	산화규소(결정체 트리디마이트)	15468-32-3	41003	24	0.05 ㎎/㎥		의뢰물질					20	㎎/㎥	분진	○	 	○	○					1A														PVC 여과지		DC	2.5										H350
312	N0382	운모			규산염(운모)	12001-26-2	41004	24	3 ㎎/㎥		"GR(분진,금속가공유)"					02	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	2.5										
313	N0383	포틀랜드시멘트		Portland cement	포틀랜드시멘트	65997-15-1	41005	24	10 ㎎/㎥		"GR(분진,금속가공유)"					01	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	1										"H315,H318,H335"
314	N0384	소우프스톤			규산염(솝스톤)	14807-96-6	41006	24	3 ㎎/㎥		"GR(분진,금속가공유)"					02	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	2.5										
315	N0385	활석(석면포함)		Talc(Containing asbestos fibers)	활석(석면포함)		51475	12	0.1 개/㎤		"GR(분진,금속가공유)"					06	개/㎤	분진	○	 	○	○				○	1A																											
316	N0389	고열[계속작업_경작업]		hyperthermal condition	고열		32101	12	30.0 ℃							29	℃	소음 및 고열	○	 	 	○																																
317	N0390	고열[계속작업_중등작업]		hyperthermal condition	고열		32102	12	26.7 ℃							29	℃	소음 및 고열	○	 	 	○																																
318	N0391	고열[계속작업_중작업]		hyperthermal condition	고열		32103	12	25.0 ℃							29	℃	소음 및 고열	○	 	 	○																																
319	N0392	고열[매시간75%작업25%휴식_경작업]		hyperthermal condition	고열		32104	12	30.6 ℃							29	℃	소음 및 고열	○	 	 	○																																
320	N0393	고열[매시간75%작업25%휴식_중등작업]		hyperthermal condition	고열		32105	12	28.0 ℃							29	℃	소음 및 고열	○	 	 	○																																
321	N0394	고열[매시간75%작업25%휴식_중작업]		hyperthermal condition	고열		32106	12	25.9 ℃							29	℃	소음 및 고열	○	 	 	○																																
322	N0395	고열[매시간50%작업50%휴식_경작업]		hyperthermal condition	고열		32107	12	31.4 ℃							29	℃	소음 및 고열	○	 	 	○																																
323	N0396	고열[매시간50%작업50%휴식_중등작업]		hyperthermal condition	고열		32108	12	29.4 ℃							29	℃	소음 및 고열	○	 	 	○																																
324	N0397	고열[매시간50%작업50%휴식_중작업]		hyperthermal condition	고열		32109	12	27.9 ℃							29	℃	소음 및 고열	○	 	 	○																																
325	N0398	고열[매시간25%작업75%휴식_경작업]		hyperthermal condition	고열		32110	12	32.2 ℃							29	℃	소음 및 고열	○	 	 	○																																
326	N0399	고열[매시간25%작업75%휴식_중등작업]		hyperthermal condition	고열		32111	12	31.1 ℃							29	℃	소음 및 고열	○	 	 	○																																
327	N0400	고열[매시간25%작업75%휴식_중작업]		hyperthermal condition	고열		32112	12	30.0 ℃							29	℃	소음 및 고열	○	 	 	○																																
328	N0421	곡분분진		Flour dust(inhalable fraction)	곡분분진(흡입성)		42002	12	0.5 mg/㎥		"GR(분진,금속가공유)"					40	㎎/㎥	99	○		○	○																			PVC 여과지		DC	2										
329	N0422	크롬산연(as Cr)		"Lead chromate, as Cr"	크롬산연	7758-97-6	51326	12	0.012 ㎎/㎥		"ICP(금속,알칼리)"		100.68		1	112	㎎/㎥	금속류	○	○	○	○	○				1A		1A	0.00229	0.00756										MCE 여과지		냉장	2									"R45,R61,R33,R62,R50/53"	"H314,H319,H350,H360,H370,H372"
330	N0423	스토다드솔벤트(벤젠 0.1% 이상 함유)		Stoddard solvent	스토다드솔벤트	8052-41-3	21211	12	100 ppm		GC(유기용제)	61	0.9938	1	1	15	ppm	유기화합물	○	 	○	○	○				1B	1B		0.1228	0.4052	㎎/Sample	128.25								활성탄		냉장	0.02							A-112-2018		"H350,H340,H304,H372(centralnervoussystem)"	"H225,H304,H313,H315,H319,H335,H350,H373"
331	N0424	카드뮴(호흡성)		"cadmium and compounds, as Cd"	카드뮴 및 그 화합물	7440-43-9	22067	12	0.002 ㎎/㎥		"ICP(금속,알칼리)"	135	99.41			128	㎎/㎥	금속류	○	○	○	○	○		○	○	1A	2	2	0.0003	0.0010	㎍/㎖									MCE 여과지		DC	2.5							A-14-2019			
332	N0425	황산(pH2.0초과)		sulfuric acid	황산(pH2.0초과)	7664-93-9	23035	12	0.2 ㎎/㎥		의뢰물질	313				112	㎎/㎥	산 및 알카리류	○	○	○	○					1A														Quartz 여과지		냉장	1							A-179-2019		H314	"H290,H303,H314,H318,H330,H350,H402,H412"
333	N0426	노말-부틸-락테이트		n-Butyl lactate	노말-부틸-락테이트	138-22-7	51142		5 ppm		의뢰물질					01	ppm	99	○			○																												N				"H315,H335,H336"
334	N0460	야간작업(월평균4회)			야간작업(월평균4회)		70001	12										99	 		○	○																																
335	N0461	야간작업(월평균60시간)			야간작업(월평균60시간)		70002	12										99	 		○	○																																
336	N0462	"1,2-디클로로프로판"		"1,2-Dichloropropane"	"1,2-디클로로프로판"	78-87-5	51071	12	10 ppm	110 ppm	GC(유기용제)		1.0066			15	ppm	유기화합물	○	○	○	○	○	 	○	 	1A			0.0194	0.0640	㎎/Sample	112.99		1.159						활성탄		냉장	0.02							A-188-2021			"H225,H302,H331,H350,H412"
337	N0465	자외선			자외선		36001	12										99	 	 	○	○	 	 	 	 																												
338	N0466	방사선			방사선		34	12										99	 	 	○	○	 	 	 	 																												
339	N0467	크실렌(STEL)		xylene	크실렌	1330-20-7	21179	12		150 ppm	GC(유기용제)	34	1	0.97		15	ppm	유기화합물	○	 	 	○	 	 	 	 				0.0335	0.1106		106.17								활성탄		냉장	0.1							A-73-2018		"H226,H332,H312,H315"	"H225,H303,H304,H315,H319,H335,H336,H401"
340	N0468	인듐 및 그 화합물			인듐 및 그 화합물	7440-74-6	51296		0.01 ㎎/㎥		"ICP(금속,알칼리)"					128	㎎/㎥	금속류	○	○	○	○	 	 	 	 															MCE 여과지		DC	2.5							A-181-2020			
341	N0469	삼산화안티몬			삼산화안티몬	1309-64-4	51184	12	0.5 ㎎/㎥		"ICP(금속,알칼리)"	130	99.90		1.1971	128	㎎/㎥	금속류	○	○	○	○	○	 	 	 	2			0.0012	0.0040	㎍/㎖	121.75		6.69						MCE 여과지		DC	2										H401
342	N0470	불화수소(C)		hydrogen fluoride	불화수소	7664-39-3	23007	12	0.5 ppm	C3 ppm	의뢰물질	301			1	19	ppm	산 및 알카리류	○	 	○	○	 	 	 	 				0.0899	0.2967										실리카겔		냉장	0.2							A-154-2018		"H310,H330,H300,H314"	"H280,H290,H310,H314,H318,H330,H402"
343	N0471	스토다드솔벤트(벤젠 0.1% 미만 함유)		Stoddard solvent	스토다드솔벤트	8052-41-3	21211	12	100 ppm		GC(유기용제)	61	1	1	1	15	ppm	유기화합물	○	 	○	○	 	 	 	 	1B	1B					128.25								활성탄		냉장	0.02							A-112-2018		"H350,H340,H304,H372(centralnervoussystem)"	"H225,H304,H313,H315,H319,H335,H350,H373"
344	N0472	석탄분진		Coal dust	석탄분진	125612-26-2	51187	24	1 ㎎/㎥		"GR(분진,금속가공유)"					02	㎎/㎥	분진	○	 	○	○	 	 	 	○															PVC 여과지		DC	2.5										
345	N0473	알루미늄		Aluminum	알루미늄및그화합물(금속분진)	7429-90-5	22039	12	10 ㎎/㎥		"ICP(금속,알칼리)"	120	97.16		1	128	㎎/㎥	금속류	 	 	○	○	 	 	 	 				0.00086	0.00284	㎍/㎖	26.98		2.7								DC								A-10-2018		"H250,H261"	"H373,H402,H410"
346	N0474	석고			석고	13397-24-5	51186	24	10 ㎎/㎥		"GR(분진,금속가공유)"					40	㎎/㎥	분진	○	 	○	○	 	 	 	 															PVC 여과지		DC	2										
347	N0475	소석고			소석고	10034-76-1	51202	24	10 ㎎/㎥		"GR(분진,금속가공유)"					40	㎎/㎥	분진	○	 	○	○	 	 	 	 															PVC 여과지		DC	2										
348	N0476	크롬산연(as Pb)		"Lead chromate, as Pb"	크롬산연	7758-97-6	52039	12	0.05 ㎎/㎥		"ICP(금속,알칼리)"		101.05		1	128	㎎/㎥	금속류	○	○	○	○	○	 	 	 	1A		1A	0.00621	0.02049										MCE 여과지		DC	2									"R45,R61,R33,R62,R50/53"	"H314,H319,H350,H360,H370,H372"
