일련번호,CAS No,유해물질의 명칭_국문,유해물질의 명칭_영문,화학식,노출기준_TWA_ppm,노출기준_TWA_㎎/㎥,노출기준_STEL_ppm,노출기준_STEL_㎎/㎥,비 고(CAS번호 등),Cas No. 추출값
569,57-74-9,클로르단,Chlordane,C10H6Cl8,-,0.5,-,-,"[57-74-9] 발암성 2, Skin",57-74-9
570,2921-88-2,클로르피리포스,Chlorpyrifos(Inhalable fraction and vapor),C9H11Cl3NO3PS,-,0.1,-,-,"[2921-88-2] Skin, 흡입성 및 증기",2921-88-2
571,2971-90-6,클로피돌,Clopidol,C7H7Cl2NO,-,10,-,-,[2971-90-6] ,2971-90-6
572,471-34-1,탄산칼슘,Calcium carbonate,CaCO3,-,10,-,-,[471-34-1] ,471-34-1
573,1314-61-0,탄탈륨(금속 및 산화흄),Tantalum(Metal & oxide fume),Ta/Ta2O5,-,5,-,-,[1314-61-0] ,1314-61-0
574,7440-28-0,탈륨(가용성화합물),"Thallium(Soluble compounds, as Tl)",Tl2SO4/TlC2H3O2/TlNO3,-,0.1,-,-,[7440-28-0] Skin,7440-28-0
575,26140-60-3,"터페닐(오쏘,메타,파라 이성체)","Terphenyls(o,m,p-isomers)",C18H14,-,-,-,C5,[26140-60-3] ,26140-60-3
576,8006-64-2,테레빈유,Turpentine,C10H16,20,-,-,-,[8006-64-2] ,8006-64-2
577,7440-33-7,텅스텐(가용성화합물),Tungsten(Soluble compounds)(Respirable fraction),W,-,1,-,3,[7440-33-7] 호흡성,7440-33-7
578,7440-33-7,텅스텐 및 불용성화합물,Tungsten metal and Insoluble compounds(Respirable fraction),W,-,5,-,10,[7440-33-7] 호흡성,7440-33-7
579,509-14-8,테트라니트로메탄,Tetranitromethane,C(NO2)4,1,-,-,-,[509-14-8] 발암성 2,509-14-8
580,3333-52-6,테트라메틸 숙시노니트릴,Tetramethyl succinonitrile,C8H12N2,0.5,-,-,-,[3333-52-6] Skin,3333-52-6
581,75-74-1,테트라메틸 연,"Tetramethyl lead, as Pb",(CH3)4Pb,-,0.075,-,-,"[75-74-1] 발암성 2, Skin",75-74-1
582,7722-88-5,테트라소디움피로포스페이트,Tetrasodium pyrophosphate,Na4P2O7,-,5,-,-,[7722-88-5] ,7722-88-5
583,78-00-2,테트라에틸 연,"Tetraethyl lead, as Pb",Pb(C2H5)4,-,0.075,-,-,"[78-00-2] 발암성 2 , Skin",78-00-2
584,1335-88-2,테트라클로로나프탈렌,Tetrachloronaphthalene,C10H4Cl4,-,2,-,-,[1335-88-2] ,1335-88-2
585,76-11-9,"1,1,1,2-테트라클로로-2,2-디플로로에탄","1,1,1,2-Tetrachloro-2,2-difluoroethane",CCl3․CClF2,500,-,-,-,[76-11-9] ,76-11-9
586,76-12-0,"1,1,2,2-테트라클로로-1,2-디플로로에탄","1,1,2,2-Tetrachloro-1,2-difluoroethane",CCl2F․CCl2F,500,-,-,-,[76-12-0] ,76-12-0
587,56-23-5,테트라클로로메탄,Tetrachloromethane,CCl4,5,,,,[56-23-5] 사염화탄소 참조,56-23-5
588,79-34-5,"1,1,2,2-테트라클로로에탄","1,1,2,2-Tetrachloroethane",CHCl2CHCl2,1,-,-,-,"[79-34-5] 발암성 2, Skin",79-34-5
589,127-18-4,테트라클로로에틸렌,Tetrachloroethylene,CCl2CCl2,25,,100,,[127-18-4] 퍼클로로에틸렌 참조,127-18-4
590,109-99-9,테트라하이드로퓨란,Tetrahydrofuran,C4H8O,50,-,100,-,"[109-99-9] 발암성 2, Skin",109-99-9
591,479-45-8,테트릴,Tetryl,(NO2)3C6H2N(NO2)CH3,-,1.5,-,-,[479-45-8] ,479-45-8
592,13494-80-9,텔레늄과 그 화합물,"Tellurium & compounds, as Te",Te/H2Te/K2TeO3/Na2H4TeO6,-,0.1,-,-,[13494-80-9] ,13494-80-9
593,1304-82-1,텔루르화 비스무스,Bismuth telluride,Bi2Te2,-,10,-,-,[1304-82-1] ,1304-82-1
594,3383-96-8,템포스,Temephos,S[C₆H₄OP(S)(OCH₃)₂]₂ ,-,10,-,-,[3383-96-8] Skin,3383-96-8
595,8001-35-2,톡사펜,Toxaphene,C10H10Cl8,,0.5,,1,[8001-35-2] 염소화 캄펜 참조,8001-35-2
596,108-88-3,톨루엔,Toluene,C6H5CH3,50,-,150,-,[108-88-3] 생식독성 2,108-88-3
597,584-84-9,"톨루엔-2,4-디이소시아네이트","Toluene-2,4-diisocyanate(TDI)",CH3C6H3(NCO)2,0.005,-,0.02,-,[584-84-9] 발암성 2,584-84-9
598,91-08-7,"톨루엔-2,6-디이소시아네이트","Toluene-2,6-diisocyanate(TDI)",CH3C6H3(NCO)2,0.005,-,0.02,-,[91-08-7] 발암성 2,91-08-7
599,108-88-3,톨루올,Toluol,C6H5CH3,50,,150,,[108-88-3] 톨루엔 참조,108-88-3
600,2451-62-9,트리글리시딜이소시아누레이트,Triglycidylisocyanurate,C12H15N3O6,-,0.1,-,-,[2451-62-9] ,2451-62-9
601,118-96-7,"2,4,6-트리니트로 톨루엔","2,4,6-Trinitrotoluene(TNT)",CH3C6H2(NO2)3,-,0.1,-,-,[118-96-7] Skin,118-96-7
602,88-89-1,"2,4,6-트리니트로페놀","2,4,6-Trinitrophenol",HOC6H12(NO2)3,,0.1,,,[88-89-1] 피크린산 참조,88-89-1
603,25551-13-7,트리메틸 벤젠(혼합 이성체),Trimethyl benzene(mixed isomers),(CH3)3C6H3,25,-,-,-,[25551-13-7] ,25551-13-7
604,75-50-3,트리메틸아민,Trimethylamine,(CH3)3N,5,-,15,-,[75-50-3] ,75-50-3
605,121-45-9,트리메틸 포스파이트,Trimethyl phosphite,(CH3O)3P,2,-,-,-,[121-45-9] ,121-45-9
606,552-30-7,트리멜리틱 안하이드리드,Trimellitic anhydride(Inhalable fraction and vapor),C9H4O5,-,0.0005,-,0.002,"[552-30-7] Skin, 흡입성 및 증기",552-30-7
607,126-73-8,트리부틸 포스페이트,Tributyl phosphatee(Inhalable fraction and vapor),(C4H9O)3PO,-,2.5,-,-,"[126-73-8] 발암성 2, 흡입성 및 증기",126-73-8
608,121-44-8,트리에틸아민,Triethylamine,(C2H5)3N,2,-,4,-,[121-44-8] Skin,121-44-8
609,78-30-8,트리오르토크레실 포스페이트,Triorthocresyl phosphate,(CH3C6H4O)3PO,-,0.1,-,-,[78-30-8] Skin,78-30-8
610,1321-65-9,트리클로로나프탈렌,Trichloronaphthalene,C10H5Cl6,-,5,-,-,[1321-65-9] Skin,1321-65-9
611,76-06-2,트리클로로니트로메탄,Trichloronitromethane,CCl3NO2,0.1,,0.3,,[76-06-2] 클로피크린 참조,76-06-2
612,67-66-3,트리클로로메탄,Trichloromethane,CHCl3,10,-,-,-,"[67-66-3] 발암성 2, 생식독성 2",67-66-3
613,120-82-1,"1,2,4-트리클로로벤젠","1,2,4-Trichlorobenzene",C6H3Cl3,-,-,C5,-,[120-82-1] ,120-82-1
614,76-03-9,트리클로로아세트산,Trichloroacetic acid,CCl3COOH,1,-,-,-,[76-03-9] 발암성 2,76-03-9
615,71-55-6,"1,1,1-트리클로로에탄","1,1,1-Trichloroethane",CH3CCl3,350,,450,,[71-55-6] 메틸 클로로포름 참조,71-55-6
616,79-00-5,"1,1,2-트리클로로에탄","1,1,2-Trichloroethane",CHCl2CH2Cl,10,-,-,-,"[79-00-5] 발암성 2, Skin",79-00-5
617,79-01-6,트리클로로에틸렌,Trichloroethylene,CCl2CHCl,10,-,25,-,"[79-01-6] 발암성 1A, 생식세포 변이원성 2",79-01-6
618,76-13-1,"1,1,2-트리클로로-1,2,2-트리플루오로에탄","1,1,2-Trichloro-1,2,2-trifluoroethane",CCl2F․CClF2,1000,-,1250,-,[76-13-1] ,76-13-1
619,96-18-4,"1,2,3-트리클로로프로판","1,2,3-Trichloropropane",CH2ClCHClCH2Cl,10,-,-,-,"[96-18-4] 발암성 1B, 생식독성 1B, Skin",96-18-4
620,75-69-4,트리클로로플루오로메탄,Trichlorofluoromethane,CCl3F,,,C1000,,[75-69-4] 플루오로트리클로로메탄 참조,75-69-4
621,13121-70-5,트리클로로헥실틴 하이드록사이드,Trichlorohexyltin hydroxide,C18H34OSn,,5,,,[13121-70-5] 시헥사틴 참조,13121-70-5
622,52-68-6,트리클로폰,Trichlorfon(Inhalable fraction),C4H8Cl3O4P,-,0.3,-,-,[52-68-6] 흡입성,52-68-6
623,603-34-9,트리페닐 아민,Triphenyl amine,(C6H5)3N,-,5,-,-,[603-34-9] ,603-34-9
624,115-86-6,트리페닐 포스페이트,Triphenyl phosphate,(C6H5O)3PO,-,3,-,-,[115-86-6] ,115-86-6
625,75-63-8,트리플루오로 브로모메탄,Trifluoro bromomethane,CBrF3,1000,-,-,-,[75-63-8] ,75-63-8
626,-,입자상다환식방향족 탄화수소(벤젠에 가용성),Particulate polycyclicaromatic hydrocarbons(as benzene solubles),C14H10/C16H10/C12H9N/C20H12,-,0.2,-,-,발암성 1A~2(믈질의 종류에 따라 발암성 등급 차이가 있음),-
627,93-76-5,"2,4,5-티","2,4,5-T(2,4,5-Trichlorophenoxy acetic acid)",Cl3C6H2OCH2COOH,-,10,-,-,[93-76-5] ,93-76-5
628,68-11-1,티오글리콜산,Thioglicolic acid,C2H4O2S,1,-,-,-,[68-11-1] Skin,68-11-1
629,137-26-8,티람,Thiram,C6H12N2S4,-,1,-,-,[137-26-8] Skin,137-26-8
630,96-69-5,"4,4'-티오비스(6-삼차-부틸-메타-크레졸)","4,4'-Thiobis(6-tert-butyl-m-cresol)",C22H30O2S,-,10,-,-,[96-69-5] ,96-69-5
631,3689-24-5,티이디피,TEDP,(C2H5)4P2S2O5,,0.2,,,[3689-24-5] 설포텝 참조,3689-24-5
632,107-49-3,티이피피,Tetraethyl pyrophosphate (TEPP) (Inhalable fraction and vapor),(C2H5)4P2O7,-,0.01,-,-,"[107-49-3] Skin, 흡입성 및 증기",107-49-3
633,100-01-6,파라-니트로아닐린,p-Nitroaniline,C6H6N2O2,-,3,-,-,[100-01-6] Skin,100-01-6
634,100-00-5,파라-니트로클로로벤젠,p-Nitrochlorobenzene,ClC6H4NO2,0.1,-,-,-,"[100-00-5] 발암성 2, 생식세포 변이원성 2, Skin",100-00-5
635,106-46-7,파라-디클로로벤젠,p-Dichlorobenzene,C6H4Cl2,10,-,20,-,[106-46-7] 발암성 2,106-46-7
636,106-51-4,파라-벤조퀴논,p-Benzoquinone,OC6H4O,0.1,-,-,-,[106-51-4] ,106-51-4
637,98-51-1,파라-삼차-부틸톨루엔,p-tert-Butyltoluene,CH3C6H4C(CH3)3,10,-,15,-,[98-51-1] ,98-51-1
638,56-38-2,파라치온,Parathion(Inhalable fraction and vapor),(C2H5O)2PSOC6H4NO2,-,0.05,-,-,"[56-38-2] 발암성 2, Skin, 흡입성 및 증기",56-38-2
639,4685-14-7,파라쿼트,Paraquat(Respirable fraction),C12H14Cl2/C12H14N2(CH3SO4)2,-,0.1,-,-,[4685-14-7] 호흡성,4685-14-7
640,106-50-3,파라-페닐렌디아민,p-Phenylene diamine,C6H8N2,-,0.1,-,-,[106-50-3] Skin,106-50-3
641,106-49-0,파라-톨루이딘,p-Toluidine,CH3C6H3NH2,2,-,-,-,"[106-49-0] 발암성 2, Skin",106-49-0
642,93763-70-3,퍼라이트,Perlite,-,-,10,-,-,[93763-70-3] ,93763-70-3
643,14484-64-1,퍼밤,Ferbam(Respirable fraction),[(CCH3)2NCS2]3Fe,-,10,-,-,[14484-64-1] 흡입성,14484-64-1
644,594-42-3,퍼클로로메틸 멀캡탄,Perchloromethyl mercaptan,CCl3SCl,0.1,-,-,-,[594-42-3] ,594-42-3
645,127-18-4,퍼클로로에틸렌,Perchloroethylene,CCl2CCl2,25,-,100,-,[127-18-4] 발암성 1B,127-18-4
646,7616-94-6,퍼클로릴 플루오라이드,Perchloryl fluoride,ClO3F,3,-,6,-,[7616-94-6] ,7616-94-6
647,22224-92-6,페나미포스,Fenamiphos(Inhalable fraction and vapor),-,-,0.1,-,-,"[22224-92-6] Skin, 흡입성 및 증기",22224-92-6
648,92-84-2,페노티아진,Phenothiazine,S(C6H14)2 NH,-,5,-,-,[92-84-2] Skin,92-84-2
649,108-95-2,페놀,Phenol,C6H5OH,5,-,-,-,"[108-95-2] 생식세포 변이원성 2, Skin",108-95-2
650,122-60-1,페닐 글리시딜 에테르,Phenyl glycidyl ether(PGE),C6H5OCH2CHOCH2,0.8,-,-,-,"[122-60-1] 발암성 1B, 생식세포 변이원성 2, Skin",122-60-1
651,108-98-5,페닐 멀캡탄,Phenyl mercaptan,C6H5SH,0.1,-,-,-,[108-98-5] Skin,108-98-5
652,101-84-8,페닐 에테르(증기),Phenyl ether(Vapor),(C6H5)2O,1,-,2,-,[101-84-8] ,101-84-8
653,100-42-5,페닐 에틸렌,Phenyl ethylene,C6H5CHCH2,20,,40,,[100-42-5] 스티렌 참조,100-42-5
654,638-21-1,페닐 포스핀,Phenyl phosphine,C6H5PH2,-,-,C0.05,-,[638-21-1] ,638-21-1
655,100-63-0,페닐 하이드라진,Phenyl hydrazine,C6H5NHNH2,5,-,10,-,"[100-63-0] 발암성 1B, 생식세포 변이원성 2, Skin",100-63-0
656,115-90-2,펜설포티온,Fensulfothion(Inhalable fraction and vapor),C4H17O4PS,-,0.1,-,-,"[115-90-2] Skin, 흡입성 및 증기",115-90-2
657,532-27-4,펜아실 클로라이드,Phenacyl chloride,C6H5COCH2Cl,0.05,,,,[532-27-4] 알파-클로로아세토페논 참조,532-27-4
658,107-87-9,2-펜타논,2-Pentanone,CH3COC3H7,200,,250,,[107-87-9] 메틸 프로필 케톤 참조,107-87-9
659,19624-22-7,펜타보레인,Pentaborane,B5H9,0.005,-,0.015,-,[19624-22-7] ,19624-22-7
660,115-77-5,펜타에리트리톨,Pentaerythritol,C(CH2OH)4,-,10,-,-,[115-77-5] ,115-77-5
661,1321-64-8,펜타클로로나프탈렌,Pentachloronaphthalene,C10H3Cl5,-,0.5,-,-,[1321-64-8] ,1321-64-8
662,87-86-5,펜타클로로페놀,Pentachlorophenol(Inhalable fraction and vapor),C6Cl5OH,-,0.5,-,-,"[87-86-5] 발암성 1B, Skin, 흡입성 및 증기",87-86-5
663,109-66-0,펜탄(모든 이성체),"Pentane, all isomers",C5H12,600,-,750,-,[109-66-0] ,109-66-0
663,463-82-1,펜탄(모든 이성체),"Pentane, all isomers",C5H12,600,-,750,-,[463-82-1] ,463-82-1
663,78-78-4,펜탄(모든 이성체),"Pentane, all isomers",C5H12,600,-,750,-,[78-78-4] ,78-78-4
664,55-38-9,펜티온,Fenthion,C10H15O3PS,-,0.2,-,-,"[55-38-9] 생식세포 변이원성 2, Skin",55-38-9
665,944-22-9,포노포스,Fonofos(Inhalable fraction and vapor),C10H15OPS2,-,0.1,-,-,"[944-22-9] Skin, 흡입성 및 증기",944-22-9
666,298-02-2,포레이트,Phorate(Inhalable fraction and vapor),C7H17O2PS3,-,0.05,-,-,"[298-02-2] Skin, 흡입성 및 증기",298-02-2
667,109-94-4,포름산 에틸,Ethyl formate,HCOOC2H5,100,-,-,-,[109-94-4] ,109-94-4
668,75-12-7,포름아미드,Formamide,HCONH2,10,-,-,-,"[75-12-7] 생식독성 1B, Skin",75-12-7
669,50-00-0,포름알데히드,Formaldehyde,HCHO,0.3,-,-,-,"[50-00-0] 발암성 1A, 생식세포 변이원성 2",50-00-0
670,75-44-5,포스겐,Phosgene,COCl2,0.1,-,-,-,[75-44-5] ,75-44-5
671,7786-34-7,포스드린,Phosdrin,(CH3O)2PO2C(CH3),0.01,,0.03,,[7786-34-7] 메빈포스 참조,7786-34-7
672,10025-87-3,포스포러스 옥시클로라이드,Phosphorus oxychloride,POC13,0.1,-,0.5,-,[10025-87-3] ,10025-87-3
673,7719-12-2,포스포러스 트리클로라이드,Phosphorus trichloride,PC13,0.2,-,0.5,-,[7719-12-2] ,7719-12-2
674,1314-80-3,포스포러스 펜타설파이드,Phosphorus pentasulfide,P2S5/P4S10,-,1,-,3,[1314-80-3] ,1314-80-3
675,10026-13-8,포스포러스 펜타클로라이드,Phosphorus pentachloride,PCl5,0.1,-,-,-,[10026-13-8] ,10026-13-8
676,7803-51-2,포스핀,Phosphine,PH3,0.3,-,1,-,[7803-51-2] ,7803-51-2
677,65997-15-1,포틀랜드 시멘트,Portland cement,-,-,10,-,-,[65997-15-1] ,65997-15-1
678,98-01-1,푸르푸랄,Furfural,C4H3OCHO,2,-,-,-,"[98-01-1] 발암성 2, Skin",98-01-1
679,98-00-0,푸르푸릴 알코올,Furfuryl alcohol,C4H3OCH2OH,10,-,15,-,"[98-00-0] 발암성 2, Skin",98-00-0
680,107-19-7,프로파르길 알코올,Propargyl alcohol,HCCCH2OH,1,-,-,-,[107-19-7] Skin,107-19-7
681,1120-71-4,프로판 설톤,Propane sultone,C3H6O3S,-,-,-,-,[1120-71-4] 발암성 1B,1120-71-4
682,114-26-1,프로폭서,Propoxur(Inhalable fraction and vapor),C11H15NO3,-,0.5,-,-,"[114-26-1] 발암성 2, 흡입성 및 증기",114-26-1
683,79-09-4,프로피온산,Propionic acid,CH3CH2COOH,10,-,15,-,[79-09-4] ,79-09-4
684,74-99-7,프로핀,Propyne,C3H4,1000,,1250,,[74-99-7] 메틸 아세틸렌 참조,74-99-7
685,6423-43-4,프로필렌 글리콜 디니트레이트,Propylene glycoldinitrate,C3H6N2O6,0.05,-,-,-,[6423-43-4] Skin,6423-43-4
686,107-98-2,프로필렌 글리콜 모노메틸 에테르,Propylene glycolmonomethyl ether,CH3OCH2CHOHCH3,100,-,150,-,[107-98-2] ,107-98-2
687,78-87-5,프로필렌 디클로라이드,Propylene dichloride,CH3CHClCH2Cl,10,,110,,"[78-87-5] 1,2-디클로로프로판 참조",78-87-5
688,75-55-8,프로필렌 이민,Propylene imine,C6H7N,2,-,-,-,"[75-55-8] 발암성 1B, Skin",75-55-8
689,75-69-4,플루오로트리클로로메탄,Fluorotrichloromethane,CCl3F,-,-,C1000,-,[75-69-4] ,75-69-4
690,7681-49-4,플루오라이드,"Fluorides, as F",-,-,2.5,-,-,[7681-49-4] ,7681-49-4
691,8003-34-7,피레트럼,Pyrethrum,C21H28O3/C22H28O5/C20H28O3,-,5,-,-,[8003-34-7] ,8003-34-7
692,120-80-9,피로카테콜,Pyrocatechol,C6H4(OH)2,5,,,,[120-80-9] 카테콜 참조,120-80-9
693,110-86-1,피리딘,Pyridine,C5H5N,2,-,-,-,[110-86-1] 발암성 2,110-86-1
694,88-89-1,피크린산,Picric acid,HOC6H12(NO2)3,-,0.1,-,-,[88-89-1] Skin,88-89-1
695,1918-02-1,피클로람,Picloram,C6H3Cl3N2O2,-,10,-,-,[1918-02-1] ,1918-02-1
696,142-64-3,피페라진 디하이드로클로라이드,Piperazine dihydrochloride,C4H10N2․2HCl,-,5,-,-,[142-64-3] 생식독성 2,142-64-3
697,83-26-1,핀돈,Pindone(Pival),C14H14O3,-,0.1,-,-,[83-26-1] ,83-26-1
698,302-01-2,하이드라진,Hydrazine,(NH2)2,0.05,-,-,-,"[302-01-2] 발암성 1B, Skin",302-01-2
699,7783-07-5,하이드로겐 셀레늄,"Hydrogen selenide, as Se",H2Se,0.05,-,-,-,[7783-07-5] ,7783-07-5
700,61788-32-7,하이드로게네이티드 터페닐,Hydrogenated terphenyls,C6H5C6H4C6H5,0.5,-,-,-,[61788-32-7] ,61788-32-7
701,123-31-9,하이드로퀴논,Hydroquinone,C6H4(OH)2,,2,,,[123-31-9] 디하이드록시벤젠 참조,123-31-9
702,123-42-2,4-하이드록시-4-메틸-2-펜타논,4-Hydroxy-4-methyl-2-pentanone,C6H12O2,50,,,,[123-42-2] 디아세톤 알코올 참조,123-42-2
703,999-61-1,2-하이드록시 프로필 아크릴레이트,2-Hydroxypropyl acrylate,CH2CHCOOCH2CHOHCH3,0.5,-,-,-,[999-61-1] Skin,999-61-1
704,7440-58-6,하프니움,Hafnium,Hf,-,0.5,-,-,[7440-58-6] ,7440-58-6
705,591-78-6,2-헥사논,2-Hexanone,CH3COCH2CH2CH2CH3,5,,,,[591-78-6] 메틸 노말 부틸케톤 참조,591-78-6
706,680-31-9,헥사메틸 포스포르아미드,Hexamethyl phosphoramide,[(CH3)2N]3PO,-,-,-,-,"[680-31-9] 발암성 1B, 생식세포 변이원성 1B, Skin",680-31-9
707,822-06-0,헥사메틸렌 디이소시아네이트,Hexamethylene diisocyanate,C15H22N2O2,0.005,-,-,-,[822-06-0] ,822-06-0
708,1335-87-1,헥사클로로나프탈렌,Hexachloronaphthalene,C10H2Cl6,-,0.2,-,-,[1335-87-1] Skin,1335-87-1
709,87-68-3,헥사클로로부타디엔,Hexachlorobutadiene,CCl2CClCClCCl2,0.02,-,-,-,"[87-68-3] 발암성 2, Skin",87-68-3
710,77-47-4,헥사클로로시클로펜타디엔,Hexachlorocyclopentadiene,C5Cl6,0.01,-,-,-,[77-47-4] ,77-47-4
711,67-72-1,헥사클로로에탄,Hexachloroethane,CCl3CCl3,1,-,-,-,[67-72-1] 발암성 2,67-72-1
712,684-16-2,헥사플루오로아세톤,Hexafluoroacetone,F3CCOCF3,0.1,-,-,-,[684-16-2] Skin,684-16-2
713,75-83-2,헥산(다른 이성체),Hexane(other isomer),(CH3)3C3H5/n(CH3)4C2H2,500,-,1000,-,[75-83-2],75-83-2
713,79-29-8,헥산(다른 이성체),Hexane(other isomer),(CH3)3C3H5/n(CH3)4C2H2,500,-,1000,-,[79-29-8],79-29-8
713,96-14-0,헥산(다른 이성체),Hexane(other isomer),(CH3)3C3H5/n(CH3)4C2H2,500,-,1000,-,[96-14-0],96-14-0
713,107-83-5,헥산(다른 이성체),Hexane(other isomer),(CH3)3C3H5/n(CH3)4C2H2,500,-,1000,-,[107-83-5],107-83-5
714,108-10-1,헥손,Hexone,CH3COCH2CH(CH3)2,50,-,75,-,[108-10-1] 발암성 2,108-10-1
715,107-41-5,헥실렌글리콜,Hexylene glycol,(CH3)2COHCH2CHOHCH3,-,-,C25,-,[107-41-5] ,107-41-5
716,110-43-0,2-헵타논,2-Heptanone,CH3(CH2)4COCH3,50,,,,[110-43-0] 메틸 노말 아밀케톤 참조,110-43-0
717,106-35-4,3-헵타논,3-Heptanone,C2H5COC4H9,50,,,,[106-35-4] 에틸 부틸 케톤 참조,106-35-4
718,76-44-8,헵타클로르,Heptachlor ＆ Heptachlor epoxide,C10H5Cl7/C10H5Cl7O,-,0.05,-,-,"[76-44-8] 발암성 2, Skin",76-44-8
718,1024-57-3,헵타클로르,Heptachlor ＆ Heptachlor epoxide,C10H5Cl7/C10H5Cl7O,-,0.05,-,-,"[1024-57-3] 발암성 2, Skin",1024-57-3
719,142-82-5,헵탄,Heptane,CH3(CH2)5CH3,400,-,500,-,[142-82-5] ,142-82-5
720,14807-96-6,활석(석면불포함),Talc(Containing no asbestos fibers),-,-,2,-,-,[14807-96-6] 호흡성,14807-96-6
721,14807-96-6,활석(석면 포함),Talc(Containing asbestos fibers),-,,0.1개/cm3,,,"[14807-96-6] 활석(석면 포함), [1332-21-4] 석면 참조",14807-96-6
722,-,활성탄,Activated carbon,-,-,5,-,-,,-
723,7664-93-9,황산,Sulfuric acid(Thoracic fraction),H2SO4,-,0.2,-,0.6,"[7664-93-9] 발암성 1A(강산 Mist에 한정함), 흉곽성",7664-93-9
724,77-78-1,황산 디메틸,Dimethyl sulfate,(CH3)2SO4,0.1,-,-,-,"[77-78-1] 발암성 1B, 생식세포 변이원성 2, Skin",77-78-1
725,7783-20-2,황산암모늄,Ammonium Sulfate,NH4SO4NH4,-,10,-,20,[7783-20-2] ,7783-20-2
726,-,황화광,Sulfide ore,-,-,2,-,-,,-
727,16812-54-7,황화니켈(흄 및 분진),"Nickel sulfide roasting(Fume & dust, as Ni)",NiS,-,1,-,-,"[16812-54-7] 발암성 1A, 생식세포 변이원성 2",16812-54-7
728,7783-06-4,황화수소,Hydrogen sulfide,H2S,10,-,15,-,[7783-06-4] ,7783-06-4
729,65996-93-2,휘발성 콜타르피치(벤젠에 가용물),Coal tar pitch volatiles(Benzene solubles),C14H10/C16H10/C12H9N/C20H12,-,0.2,-,-,"[65996-93-2] 발암성 1A, 생식독성 1B",65996-93-2
730,7782-42-5,"흑연(천연 및 합성, Graphite 섬유제외)","Graphite(Natural＆ Synthetic, Except Graphite fibers, Respirable fraction)",C,-,2,-,-,[7782-42-5] 호흡성,7782-42-5
731,-,기타 분진(산화규소 결정체 1% 이하),Particulates not otherwise regulated(no more than 1% crystalline silica),-,-,10,-,-,발암성 1A(산화규소 결정체 0.1% 이상에 한함),-
